Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
javapoet,com.squareup.javapoet,AnnotationSpec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: VALUE; type; members; type; members; builder
javapoet,com.squareup.javapoet,AnnotationSpec,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WildcardTypeName; TypeName; ClassName; CodeWriter; TypeSpec; AnnotationSpec; ArrayTypeName; TypeVariableName; ParameterizedTypeName
javapoet,com.squareup.javapoet,AnnotationSpec.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; members
javapoet,com.squareup.javapoet,AnnotationSpec.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,AnnotationSpec.Builder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; members
javapoet,com.squareup.javapoet,AnnotationSpec.Visitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: builder
javapoet,com.squareup.javapoet,AnnotationSpec.Visitor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,ArrayTypeName,Feature Envy,The tool detected a instance of this smell because emitLeafType is more interested in members of the type: TypeName
javapoet,com.squareup.javapoet,ArrayTypeName,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: componentType
javapoet,com.squareup.javapoet,ClassName,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OBJECT; NO_PACKAGE; packageName; enclosingClassName; simpleName; simpleNames; canonicalName
javapoet,com.squareup.javapoet,ClassName,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
javapoet,com.squareup.javapoet,CodeBlock.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: formatParts; args
javapoet,com.squareup.javapoet,CodeBlock.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,CodeBlock.CodeBlockJoiner,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: delimiter; builder; first
javapoet,com.squareup.javapoet,CodeBlock.CodeBlockJoiner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,CodeWriter,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: TypeSpec; AnnotationSpec; CodeBlock in method emitLiteral
javapoet,com.squareup.javapoet,CodeWriter,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
javapoet,com.squareup.javapoet,CodeWriter.Multiset,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: map
javapoet,com.squareup.javapoet,CodeWriter.Multiset,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,FieldSpec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; name; javadoc; annotations; modifiers; initializer; type; name; javadoc; initializer; annotations; modifiers
javapoet,com.squareup.javapoet,FieldSpec.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,FieldSpec.Builder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; name; javadoc; initializer; annotations; modifiers
javapoet,com.squareup.javapoet,FieldSpec.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: type; name; javadoc; initializer; annotations; modifiers
javapoet,com.squareup.javapoet,JavaFile,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NULL_APPENDABLE; fileComment; packageName; typeSpec; skipJavaLangImports; staticImports; alwaysQualify; indent; lastModified; packageName; typeSpec; fileComment; skipJavaLangImports; indent; staticImports
javapoet,com.squareup.javapoet,JavaFile,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
javapoet,com.squareup.javapoet,JavaFile.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFile.Builder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: packageName; typeSpec; fileComment; skipJavaLangImports; indent; staticImports
javapoet,com.squareup.javapoet,JavaFile.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: packageName; typeSpec; fileComment; skipJavaLangImports; indent; staticImports
javapoet,com.squareup.javapoet,LineWrapper.FlushType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
