Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
javapoet,com.squareup.javapoet,AnnotationSpec,emit,Magic Number,The method contains a magic number: 2,55
javapoet,com.squareup.javapoet,AnnotationSpec,emit,Magic Number,The method contains a magic number: 2,55
javapoet,com.squareup.javapoet,AnnotationSpec,emitAnnotationValues,Magic Number,The method contains a magic number: 2,89
javapoet,com.squareup.javapoet,AnnotationSpec,emitAnnotationValues,Magic Number,The method contains a magic number: 2,89
javapoet,com.squareup.javapoet,AnnotationSpec,emitAnnotationValues,Magic Number,The method contains a magic number: 2,89
javapoet,com.squareup.javapoet,AnnotationSpec,emitAnnotationValues,Magic Number,The method contains a magic number: 2,89
javapoet,com.squareup.javapoet,ClassName,ClassName,Long Statement,The length of the statement "this.canonicalName=enclosingClassName != null ? (enclosingClassName.canonicalName + '.' + simpleName) : (packageName.isEmpty() ? simpleName : packageName + '.' + simpleName);" is 174.,57
javapoet,com.squareup.javapoet,ClassName,reflectionName,Long Statement,The length of the statement "return enclosingClassName != null ? (enclosingClassName.reflectionName() + '$' + simpleName) : (packageName.isEmpty() ? simpleName : packageName + '.' + simpleName);" is 165.,109
javapoet,com.squareup.javapoet,ClassName,bestGuess,Long Statement,The length of the statement "checkArgument(!simpleName.isEmpty() && Character.isUpperCase(simpleName.codePointAt(0))`"couldn't make a guess for %s"`classNameString);" is 136.,186
javapoet,com.squareup.javapoet,CodeBlock,joining,Long Statement,The length of the statement "return Collector.of(() -> new CodeBlockJoiner(separator`builder())`CodeBlockJoiner::add`CodeBlockJoiner::merge`CodeBlockJoiner::join);" is 134.,117
javapoet,com.squareup.javapoet,CodeWriter,CodeWriter,Long Parameter List,The method has 5 parameters. ,81
javapoet,com.squareup.javapoet,CodeWriter,CodeWriter,Magic Number,The method contains a magic number: 100,81
javapoet,com.squareup.javapoet,CodeWriter,emit,Complex Method,Cyclomatic complexity of the method is 21,232
javapoet,com.squareup.javapoet,CodeWriter,emit,Magic Number,The method contains a magic number: 2,232
javapoet,com.squareup.javapoet,CodeWriter,emit,Magic Number,The method contains a magic number: 2,232
javapoet,com.squareup.javapoet,CodeWriter,emit,Magic Number,The method contains a magic number: 2,232
javapoet,com.squareup.javapoet,CodeWriter,emit,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@7994d134,232
javapoet,com.squareup.javapoet,CodeWriter,emitWrappingSpace,Magic Number,The method contains a magic number: 2,327
javapoet,com.squareup.javapoet,CodeWriter,emitAndIndent,Complex Conditional,The conditional expression (javadoc || comment) && trailingNewline is complex.,467
javapoet,com.squareup.javapoet,CodeWriter,emitAndIndent,Complex Method,Cyclomatic complexity of the method is 10,467
javapoet,com.squareup.javapoet,CodeWriter,emitAndIndent,Magic Number,The method contains a magic number: 2,467
javapoet,com.squareup.javapoet,JavaFile,writeToPath,Long Statement,The length of the statement "checkArgument(Files.notExists(directory) || Files.isDirectory(directory)`"path %s exists but is not a directory."`directory);" is 125.,125
javapoet,com.squareup.javapoet,JavaFile,writeTo,Empty catch clause,The method has an empty catch block.,163
javapoet,com.squareup.javapoet,JavaFile,writeTo,Long Statement,The length of the statement "JavaFileObject filerSourceFile=filer.createSourceFile(fileName`originatingElements.toArray(new Element[originatingElements.size()]));" is 133.,163
javapoet,com.squareup.javapoet,JavaFile,emit,Complex Conditional,The conditional expression skipJavaLangImports && className.packageName().equals("java.lang") && !alwaysQualify.contains(className.simpleName) is complex.,182
javapoet,com.squareup.javapoet,JavaFile,emit,Complex Method,Cyclomatic complexity of the method is 8,182
javapoet,com.squareup.javapoet,JavaFile,emit,Long Statement,The length of the statement "if (skipJavaLangImports && className.packageName().equals("java.lang") && !alwaysQualify.contains(className.simpleName)) {" is 122.,182
javapoet,com.squareup.javapoet,JavaFile,toJavaFileObject,Long Statement,The length of the statement "URI uri=URI.create((packageName.isEmpty() ? typeSpec.name : packageName.replace('.'`'/') + '/' + typeSpec.name) + Kind.SOURCE.extension);" is 137.,243
