Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
javapoet,com.squareup.javapoet,AnnotationSpec,AnnotationSpec,4,1,1,50,0,,
javapoet,com.squareup.javapoet,AnnotationSpec,emit,24,5,2,55,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,emitAnnotationValues,18,4,4,89,0,,
javapoet,com.squareup.javapoet,AnnotationSpec,get,3,1,1,110,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,get,30,7,2,114,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,get,11,2,1,144,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,builder,4,1,1,156,0,,
javapoet,com.squareup.javapoet,AnnotationSpec,builder,3,1,1,161,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,toBuilder,7,2,0,165,0,,
javapoet,com.squareup.javapoet,AnnotationSpec,equals,6,4,1,173,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,hashCode,3,1,0,180,0,com.squareup.javapoet.AnnotationSpec,com.squareup.javapoet.AnnotationSpec
javapoet,com.squareup.javapoet,AnnotationSpec,toString,11,1,0,184,0,,
javapoet,com.squareup.javapoet,ArrayTypeName,ArrayTypeName,3,1,1,33,0,,
javapoet,com.squareup.javapoet,ArrayTypeName,ArrayTypeName,4,1,2,37,0,,
javapoet,com.squareup.javapoet,ArrayTypeName,annotated,3,1,1,42,0,,
javapoet,com.squareup.javapoet,ArrayTypeName,withoutAnnotations,3,1,0,46,0,,
javapoet,com.squareup.javapoet,ArrayTypeName,emit,3,1,1,50,0,com.squareup.javapoet.ArrayTypeName,com.squareup.javapoet.ArrayTypeName
javapoet,com.squareup.javapoet,ArrayTypeName,emit,4,1,2,54,0,com.squareup.javapoet.ArrayTypeName,com.squareup.javapoet.ArrayTypeName
javapoet,com.squareup.javapoet,ArrayTypeName,emitLeafType,6,2,1,59,0,,
