Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
javapoet,com.squareup.javapoet,AbstractTypesTest,getBasicTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,AbstractTypesTest,errorTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirrorRecursive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AbstractTypesTest,getPrimitiveTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javapoet,com.squareup.javapoet,AbstractTypesTest,box,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,AbstractTypesTest,unbox,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotatedEquivalence,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingAndNestedType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedNestedType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotationSpecTest,emptyArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
